date,slot,L_raw,L_cor,L_act,PV_raw,PV_cor,PV_act,bL,bPV,n_valid_L,lvl_L,n_valid_PV,n_fb
2025-05-07,94,6183.4,6218.24830291667,6176.4,5072.484375,5434.40429181548,4867.95,34.8483029166667,361.919916815476,20,1,28,0
2025-05-07,95,6174.34045,6209.18875291667,6199.5029,4815.0387,5176.95861681548,4712.807,34.8483029166667,361.919916815476,20,1,28,0
2025-05-07,96,6175.8106,6210.65890291667,6209.0054,4544.0378,4905.95771681548,4512.3299,34.8483029166667,361.919916815476,20,1,28,0
2025-05-07,97,6194.31,6220.92438125,6218.68,4287.403125,4651.03225089286,4279.9875,26.6143812500001,363.629125892857,20,1,28,0
2025-05-07,98,6175.486725,6202.10110625,6269.5897,3998.031525,4361.66065089286,4133.8433,26.6143812500001,363.629125892857,20,1,28,0
2025-05-07,99,6189.6835,6216.29788125,6414.3244,3697.01205,4060.64117589286,3815.1957,26.6143812500001,363.629125892857,20,1,28,0
2025-05-07,100,6187.7925,6214.40688125,6596.82,3428.98125,3792.61037589286,3339.825,26.6143812500001,363.629125892857,20,1,28,0
2025-05-07,101,6058.925125,6085.53950625,6648.9813,3208.600175,3572.22930089286,3000.522,26.6143812500001,363.629125892857,20,1,28,0
2025-05-07,102,6038.899225,6065.51360625,6418.4121,2915.795775,3279.42490089286,2718.3634,26.6143812500001,363.629125892857,20,1,28,0
2025-05-07,103,6161.015,6231.3933375,6183.25,2558.784375,2953.69959494048,2405.175,70.3783375,394.915219940476,20,1,28,0
2025-05-07,104,6211.7879,6282.1662375,6400.0128,2254.10015,2649.01536994048,2059.3355,70.3783375,394.915219940476,20,1,28,0
2025-05-07,105,6160.478475,6230.8568125,6565.6173,1910.030875,2304.94609494048,1677.9674,70.3783375,394.915219940476,20,1,28,0
2025-05-07,106,6171.7525,6242.1308375,6579.06,1531.51875,1926.43396994048,1337.55,70.3783375,394.915219940476,20,1,28,0
2025-05-07,107,6276.624275,6347.0026125,6672.8288,1227.884125,1622.79934494048,1141.3051,70.3783375,394.915219940476,20,1,28,0
2025-05-07,108,5462.192125,5532.5704625,5902.5823,928.34365,1323.25886994048,980.6872,70.3783375,394.915219940476,20,1,28,0
2025-05-07,109,4199.7325,4303.0617125,4747.71,614.803125,751.835020982143,779.8125,103.3292125,137.031895982143,20,1,28,0
2025-05-07,110,4093.05145,4196.3806625,4733.0216,353.55435,490.586245982143,554.5488,103.3292125,137.031895982143,20,1,28,0
2025-05-07,111,4327.1111,4430.4403125,4729.0495,152.22685,289.258745982143,341.0952,103.3292125,137.031895982143,20,1,28,0
2025-05-07,112,4329.8775,4433.2067125,4384.83,26.728125,163.760020982143,163.5,103.3292125,137.031895982143,20,1,28,0
2025-05-07,113,4322.902725,4426.2319375,4502.1389,3.49185,140.523745982143,35.0639,103.3292125,137.031895982143,20,1,28,0
2025-05-07,114,4243.82695,4347.1561625,4670.459,2.35975,139.391645982143,0,103.3292125,137.031895982143,20,1,28,0
2025-05-07,115,4163.3175,4228.31781958333,4634.91,0,0.0692065476190476,0,65.0003195833333,0.0692065476190476,20,1,28,0
2025-05-07,116,4262.652,4327.65231958333,4604.1901,0.181825,0.251031547619048,2.0827,65.0003195833333,0.0692065476190476,20,1,28,0
2025-05-07,117,4322.518625,4387.51894458333,4730.2908,0.169425,0.238631547619048,0,65.0003195833333,0.0692065476190476,20,1,28,0
2025-05-07,118,4273.5475,4338.54781958333,4873.81,0,0.0692065476190476,0,65.0003195833333,0.0692065476190476,20,1,28,0
2025-05-07,119,4266.580675,4331.58099458333,4764.8511,0.01305,0.0822565476190476,0.1495,65.0003195833333,0.0692065476190476,20,1,28,0
2025-05-07,120,4322.09625,4387.09656958333,4685.8837,0.01215,0.0813565476190476,0,65.0003195833333,0.0692065476190476,20,1,28,0
2025-05-07,121,4391.765,4462.23461395833,4749.84,0,0,0,70.4696139583334,0,20,1,28,0
2025-05-07,122,4405.6695,4476.13911395833,4809.4,0.000725,0.000725,0.0107,70.4696139583334,0,20,1,28,0
2025-05-07,123,4344.622425,4415.09203895833,4911.7584,0.000875,0.000875,0,70.4696139583334,0,20,1,28,0
2025-05-07,124,4277.8525,4348.32211395833,4998.07,0,0,0,70.4696139583334,0,20,1,28,0
2025-05-07,125,4305.338175,4375.80778895833,4915.0423,0,0,0,70.4696139583334,0,20,1,28,0
2025-05-07,126,4352.930075,4423.39968895833,4764.2897,0,0,0,70.4696139583334,0,20,1,28,0
2025-05-07,127,4400.7975,4486.39460479167,4721.26,0,0,0,85.5971047916667,0,20,1,28,0
2025-05-07,128,4475.1262,4560.72330479167,4875.1297,0,0,0,85.5971047916667,0,20,1,28,0
2025-05-07,129,4407.3471,4492.94420479167,4949.2253,0,0,0,85.5971047916667,0,20,1,28,0
2025-05-07,130,4340.745,4426.34210479167,4864.49,0,0,0,85.5971047916667,0,20,1,28,0
2025-05-07,131,4504.528275,4590.12537979167,4734.7172,0,0,0,85.5971047916667,0,20,1,28,0
2025-05-07,132,4082.334475,4167.93157979167,4311.6641,0,0,0,85.5971047916667,0,20,1,28,0
2025-05-07,133,3294.7175,3368.98483125,3782.26,0,0,0,74.26733125,0,20,1,28,0
2025-05-07,134,3239.72425,3313.99158125,3667.1035,0,0,0,74.26733125,0,20,1,28,0
2025-05-07,135,3345.804,3420.07133125,3714.4655,0,0,0,74.26733125,0,20,1,28,0
2025-05-07,136,3282.2375,3356.50483125,3665.58,0,0,0,74.26733125,0,20,1,28,0
2025-05-07,137,3305.91625,3380.18358125,3529.4263,0,0,0,74.26733125,0,20,1,28,0
2025-05-07,138,3338.767275,3413.03460625,3598.9724,0,0,0,74.26733125,0,20,1,28,0
2025-05-07,139,3319.8675,3348.046979375,3790.91,0,0,0,28.179479375,0,20,1,28,0
2025-05-07,140,3299.288375,3327.467854375,3715.4,0,0,0,28.179479375,0,20,1,28,0
2025-05-07,141,3334.311675,3362.491154375,3530.9668,0,0,0,28.179479375,0,20,1,28,0
2025-05-07,142,3399.98,3428.159479375,3397.66,0,0,0,28.179479375,0,20,1,28,0
2025-05-07,143,3425.3405,3453.519979375,3360.1314,0,0,0,28.179479375,0,20,1,28,0
2025-05-07,144,3480.352275,3508.531754375,3546.7375,0,0,0,28.179479375,0,20,1,28,0
2025-05-08,1,3522.9375,3574.04786041667,3732.12,0,0,0,51.1103604166666,0,20,1,28,0
2025-05-08,2,3433.82735,3484.93771041667,3561.6798,0,0,0,51.1103604166666,0,20,1,28,0
2025-05-08,3,3371.681375,3422.79173541667,3628.7172,0,0,0,51.1103604166666,0,20,1,28,0
2025-05-08,4,3429.5375,3480.64786041667,3860.57,0,0,0,51.1103604166666,0,20,1,28,0
2025-05-08,5,3540.7955,3591.90586041667,3597.8341,0,0,0,51.1103604166666,0,20,1,28,0
2025-05-08,6,3555.196125,3606.30648541667,3430.5853,0,0,0,51.1103604166666,0,20,1,28,0
2025-05-08,7,3484.2975,3496.942276875,3546.91,0,0,0,12.644776875,0,20,1,28,0
2025-05-08,8,3471.255975,3483.900751875,3534.6226,0,0,0,12.644776875,0,20,1,28,0
2025-05-08,9,3465.2551,3477.899876875,3472.8675,0,0,0,12.644776875,0,20,1,28,0
2025-05-08,10,3468.5825,3481.227276875,3460.27,0,0,0,12.644776875,0,20,1,28,0
2025-05-08,11,3541.92495,3554.569726875,3475.3537,0,0,0,12.644776875,0,20,1,28,0
2025-05-08,12,3572.04305,3584.687826875,3465.2172,0,0,0,12.644776875,0,20,1,28,0
2025-05-08,13,3556.505,3549.818384375,3455.3,0,0,0,-6.68661562499999,0,20,1,28,0
2025-05-08,14,3598.774575,3592.087959375,3515.7833,0,0,0,-6.68661562499999,0,20,1,28,0
2025-05-08,15,3608.93365,3602.247034375,3561.5999,0,0,0,-6.68661562499999,0,20,1,28,0
2025-05-08,16,3554.9575,3548.270884375,3597.12,0,0,0,-6.68661562499999,0,20,1,28,0
2025-05-08,17,3508.59455,3501.907934375,3681.0139,0,0,0,-6.68661562499999,0,20,1,28,0
2025-05-08,18,3521.7603,3515.073684375,3591.2653,0,0,0,-6.68661562499999,0,20,1,28,0
2025-05-08,19,3568.8175,3572.70259604167,3463.05,0,0,0,3.88509604166667,0,20,1,28,0
2025-05-08,20,3583.046275,3586.93137104167,3651.7386,0,0,0,3.88509604166667,0,20,1,28,0
2025-05-08,21,3615.813475,3619.69857104167,3703.9613,0,0,0.0011,3.88509604166667,0,20,1,28,0
2025-05-08,22,3675.6475,3679.53259604167,3542.22,0,0,0,3.88509604166667,0,20,1,28,0
2025-05-08,23,3709.3888,3713.27389604167,3543.7658,0.000725,0.000725,0,3.88509604166667,0,20,1,28,0
2025-05-08,24,3708.7947,3712.67979604167,3580.185,0.001375,0.001375,0.0155,3.88509604166667,0,20,1,28,0
2025-05-08,25,3656.9125,3653.00368833333,3536.1,0,0.0786880952380952,0,-3.90881166666669,0.0786880952380952,20,1,28,0
