date,em_kwh,cost_total_yuan
2025-03-12,1616.5484,47550.5967001996
2025-03-13,2379.14135,51264.1454932462
2025-03-14,1016.2674,19237.0084943609
2025-03-15,1005.77933333333,19572.7538250431
2025-03-16,1625.62985,47700.8832112672
2025-03-17,749.847,43511.0867275647
2025-03-18,1104.37123333333,44933.9475168472
2025-03-19,951.881783333333,44211.6422976212
2025-03-20,903.454766666667,44296.5890113154
2025-03-21,616.19785,17610.9084587703
2025-03-22,558.262033333333,17098.0561393775
2025-03-23,661.757166666667,43187.1683645909
2025-03-24,545.150283333333,42188.7678061319
2025-03-25,788.198383333334,43970.3731540117
2025-03-26,452.303283333333,42029.3473424025
2025-03-27,414.626116666666,42000.2750346974
2025-03-28,387.7495,16191.2460938091
2025-03-29,359.42885,16274.6107648302
2025-03-30,334.6792,41540.5681441
2025-03-31,406.672316666666,41266.8755979797
2025-04-01,303.605366666667,41427.4874925657
2025-04-02,899.97305,44412.4899990428
2025-04-03,262.139833333333,41204.0832753498
2025-04-04,236.7329,15379.6124287626
2025-04-05,226.053283333333,15650.0950232295
2025-04-06,217.910133333333,40452.4511197221
2025-04-07,198.904466666666,40032.1311103001
2025-04-08,204.657983333333,40854.1122778817
2025-04-09,177.478783333333,40565.3984022752
2025-04-10,202.560033333333,40821.1619620288
2025-04-11,152.0255,15215.1961627423
2025-04-12,141.798166666667,14859.6359216438
2025-04-13,146.787116666667,40186.761875443
2025-04-14,117.212616666667,40405.7818206857
2025-04-15,103.558266666667,39913.9749788451
2025-04-16,91.8676833333332,40157.5872527554
2025-04-17,89.5534,40252.8579103679
2025-04-18,87.1558166666667,14437.5393664483
2025-04-19,75.85285,14433.7624990794
2025-04-20,75.8528000000001,39535.7929847804
2025-04-21,62.3087166666664,40498.1072768827
2025-04-22,64.354733333333,39945.0905229786
2025-04-23,60.5165333333332,40103.0707091723
2025-04-24,55.0624666666667,40113.1252010829
2025-04-25,49.5967999999999,14643.7805482147
2025-04-26,44.6043999999999,14419.5087891183
2025-04-27,42.0938999999998,39511.8248258823
2025-04-28,89.3180333333334,39917.4537223194
2025-04-29,30.0378166666666,39623.2898646001
2025-04-30,20.9960666666666,39787.8124544744
2025-05-01,18.4380333333334,42593.5709952759
2025-05-02,18.4423166666666,16761.2747706508
2025-05-03,16.1479333333333,16903.7570789714
2025-05-04,13.5878000000001,42573.894749121
2025-05-05,13.2924,42433.444368246
2025-05-06,22.8940166666669,42641.0020097432
2025-05-07,12.3444333333334,42962.0606242269
2025-05-08,8.71870000000005,42563.726347872
2025-05-09,8.08348333333333,16620.7403170924
2025-05-10,6.51648333333333,16809.1781498731
2025-05-11,6.5164833333334,42683.2373311376
2025-05-12,6.5164833333334,42379.3806325322
2025-05-13,6.5164833333334,42395.1098824095
2025-05-14,6.5164833333334,42428.2227768325
2025-05-15,5.96850000000002,41727.7539421667
2025-05-16,4.30833333333332,16713.4875358857
2025-05-17,2.51864999999998,17108.4665941516
2025-05-18,0.623066666666697,42319.5998484598
2025-05-19,0.221050000000105,42081.1418058813
2025-05-20,0.171316666666674,42443.4543369344
2025-05-21,0.171316666666674,42141.9793618899
2025-05-22,0.171316666666674,41995.9228311249
2025-05-23,0.171316666666674,16725.3556129802
2025-05-24,0.171316666666674,16623.030231635
2025-05-25,0.171316666666674,42313.666826927
2025-05-26,0.171316666666674,41609.7973833638
2025-05-27,0.171316666666674,42042.0123647042
2025-05-28,0.171316666666674,41852.8675887724
2025-05-29,0.171316666666674,42681.542401352
2025-05-30,0.171316666666674,16329.1842132418
2025-05-31,0.171316666666674,16535.0107879739
2025-06-01,1942.38191666667,56030.271878459
2025-06-02,581.467966666667,50779.3334105328
2025-06-03,581.436783333333,51169.0931345752
2025-06-04,506.636666666666,50600.0096192033
2025-06-05,754.123233333333,51775.7397606613
2025-06-06,519.564066666667,23998.2380198717
2025-06-07,0.171316666666674,21917.9993297859
2025-06-08,63.2763666666666,48738.1942634975
2025-06-09,604.704966666667,51142.609697169
2025-06-10,1009.52383333333,52386.1302033503
2025-06-11,3938.74081666667,66913.9008301934
