date,Z_milp,Z_lp,gap
2025-03-19,38386.1567171223,38386.1567171223,0
2025-03-20,40128.5493267495,40128.5493267495,2.18278728425503e-11
2025-03-21,14603.2671514133,14603.2671514133,3.63797880709171e-12
2025-03-22,14394.6534433202,14394.6534433202,1.81898940354586e-12
2025-03-23,37692.747248225,37692.747248225,-1.45519152283669e-11
2025-03-24,37398.1419512614,37398.1419512614,7.27595761418343e-12
2025-03-25,39145.3801595173,39145.3801595174,-1.45519152283669e-11
2025-03-26,35928.31292077,35928.31292077,7.27595761418343e-12
2025-03-27,37708.984605138,37708.984605138,-7.27595761418343e-12
2025-03-28,14055.0074113404,14055.0074113404,-1.81898940354586e-12
2025-03-29,14206.6085090433,14206.1242976115,0.484211431854419
2025-03-30,35474.6849647885,35474.6849647885,0
2025-03-31,36338.0076494007,36338.0076494007,-7.27595761418343e-12
2025-04-01,37922.4128025444,37922.4128025444,7.27595761418343e-12
2025-04-02,38320.2637245283,38320.2637245283,0
2025-04-03,36063.1276305336,36063.1276305336,0
2025-04-04,13314.8942424897,13314.8942424897,3.63797880709171e-12
2025-04-05,13596.8617300049,13596.8617300049,3.63797880709171e-12
2025-04-06,34785.6857585883,34785.6857585883,7.27595761418343e-12
2025-04-07,33847.6572397723,33847.6572397723,-1.45519152283669e-11
2025-04-08,35199.57217627,35199.57217627,2.18278728425503e-11
2025-04-09,37231.8198427732,37231.8198427732,1.45519152283669e-11
2025-04-10,35101.5705649033,35098.0861942416,3.48437066172482
2025-04-11,13116.7280422829,13116.7280422829,1.81898940354586e-12
2025-04-12,12770.4680828434,12770.4680828434,1.81898940354586e-12
2025-04-13,34550.2049501789,34550.204950179,-1.45519152283669e-11
2025-04-14,33188.8519669687,33188.8519669687,0
2025-04-15,32454.3690029168,32453.7525639875,0.616438929384458
2025-04-16,34984.5589418924,34984.5589418924,7.27595761418343e-12
2025-04-17,33897.1440447997,33897.1440447997,-2.18278728425503e-11
2025-04-18,12261.5022503356,12261.5022503356,1.81898940354586e-12
2025-04-19,12135.2963930094,12135.2963930094,0
2025-04-20,32915.0951352947,32915.0951352947,7.27595761418343e-12
2025-04-21,31149.7628448941,31149.7628448941,3.63797880709171e-12
2025-04-22,32822.382302459,32822.382302459,0
2025-04-23,32301.4510698101,32301.4510698101,3.63797880709171e-12
2025-04-24,30690.5217280617,30688.5241321505,1.99759591111797
2025-04-25,11775.2591648485,11775.2591648485,-7.27595761418343e-12
2025-04-26,12057.7701556781,12057.7701556781,1.81898940354586e-12
2025-04-27,31628.137376963,31628.137376963,0
2025-04-28,35166.7559063288,35166.7559063288,1.45519152283669e-11
2025-04-29,31007.7189917873,31007.7189917874,-7.27595761418343e-12
2025-04-30,30525.5763399035,30525.5763399035,3.63797880709171e-12
2025-05-01,34288.3870369483,34288.3870369483,0
2025-05-02,14826.9170970914,14826.9170970914,-5.45696821063757e-12
2025-05-03,14154.3976029978,14154.3976029978,-1.81898940354586e-12
2025-05-04,33682.3024419635,33682.3024419635,7.27595761418343e-12
2025-05-05,35504.5947134278,35504.5947134278,-1.45519152283669e-11
2025-05-06,34327.1673123224,34327.1673123224,7.27595761418343e-12
2025-05-07,35911.5034692164,35911.1206168233,0.382852393086068
2025-05-08,35801.5192353047,35801.5192353047,-7.27595761418343e-12
2025-05-09,13956.2471477762,13956.2471477762,1.81898940354586e-12
2025-05-10,13818.945444015,13818.4140416612,0.531402353824888
2025-05-11,35559.7273723108,35559.7273723107,7.27595761418343e-12
2025-05-12,33661.8511752557,33661.8511752557,7.27595761418343e-12
2025-05-13,34107.1893920015,34107.1893920015,1.45519152283669e-11
2025-05-14,33991.394490366,33991.394490366,7.27595761418343e-12
2025-05-15,34150.638069409,34150.638069409,-7.27595761418343e-12
2025-05-16,13076.8333958011,13076.8333958011,0
2025-05-17,13837.226211647,13837.226211647,5.45696821063757e-12
2025-05-18,33903.4233398329,33903.4233398329,-7.27595761418343e-12
2025-05-19,31531.8864154752,31531.8864154752,0
2025-05-20,34746.9457883387,34746.9457883387,1.45519152283669e-11
2025-05-21,33457.873335758,33457.873335758,7.27595761418343e-12
2025-05-22,33045.6201076048,33045.6201076048,-7.27595761418343e-12
2025-05-23,13051.0670177298,13051.0670177298,0
2025-05-24,12802.5269330735,12802.5269330735,-1.81898940354586e-12
2025-05-25,31817.297905849,31816.7182346006,0.579671248357045
2025-05-26,34602.2546389691,34602.2546389691,-1.45519152283669e-11
2025-05-27,31968.4787268185,31968.4787268185,-7.27595761418343e-12
2025-05-28,33376.8293358234,33376.8293358234,1.45519152283669e-11
2025-05-29,34840.2401729463,34840.2401729463,0
2025-05-30,13254.7252103641,13254.7252103641,0
2025-05-31,12841.9769153711,12841.9769153711,-3.63797880709171e-12
2025-06-01,45891.4287424347,45889.4397748706,1.9889675641025
2025-06-02,45053.0672732424,45053.0672732424,1.45519152283669e-11
2025-06-03,44364.9771838701,44364.9771838701,0
2025-06-04,44802.8048486682,44802.8048486681,2.18278728425503e-11
2025-06-05,46244.2031174437,46244.2031174436,2.18278728425503e-11
2025-06-06,20335.3079036943,20335.3079036943,0
2025-06-07,19173.0179257957,19173.0179257957,-7.27595761418343e-12
2025-06-08,42464.1268459321,42464.1268459321,-7.27595761418343e-12
2025-06-09,46396.1613254576,46396.1613254576,0
2025-06-10,46471.0028746716,46471.0028746715,7.27595761418343e-12
2025-06-11,50269.0028349636,50269.0028349636,1.45519152283669e-11
2025-06-12,47517.0397833595,47517.0397833595,0
2025-06-13,19111.4749217108,19111.4749217108,3.63797880709171e-12
2025-06-14,18941.1266037444,18941.1266037444,-3.63797880709171e-12
2025-06-15,45711.408809365,45711.408809365,7.27595761418343e-12
2025-06-16,47559.074101688,47558.701034955,0.37306673299463
2025-06-17,48905.7312711817,48905.6925618353,0.0387093463141355
2025-06-18,45938.9523982656,45938.9523982656,-1.45519152283669e-11
2025-06-19,44570.983779088,44570.983779088,-2.18278728425503e-11
2025-06-20,17760.8619880126,17760.8619880126,-3.63797880709171e-12
2025-06-21,17239.2519870841,17239.2519870841,0
2025-06-22,43544.1179880247,43544.1179880247,-7.27595761418343e-12
2025-06-23,43968.0006321871,43968.0006321871,-1.45519152283669e-11
2025-06-24,49883.9503610773,49882.976412356,0.973948721395573
2025-06-25,45310.5518921918,45310.5518921918,7.27595761418343e-12
2025-06-26,43891.5258605524,43891.5258605524,-7.27595761418343e-12
2025-06-27,17179.1810712098,17179.1810712098,0
2025-06-28,17170.8305947444,17170.8305947444,0
2025-06-29,44620.7781007833,44620.7781007833,7.27595761418343e-12
2025-06-30,45043.5455772835,45043.5455772835,1.45519152283669e-11
2025-07-01,51567.9011837581,51567.9011837581,2.18278728425503e-11
2025-07-02,47765.0899990267,47765.0899990267,0
2025-07-03,52559.09017213,52559.09017213,-7.27595761418343e-12
2025-07-04,23763.7946875396,23763.7946875396,-3.63797880709171e-12
